label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62
C_Major,0.0,0.0,0.0,-0.16057576029818244,-0.2880758830177973,-0.07429132731044549,-0.2959029246168138,-0.5900109012065422,-0.19090437264476923,-0.3028320291094014,-0.8975573702622125,-0.3181833492156652,-0.20845061160677486,-1.0,-0.4396901623925719,-0.5575195324861203,-0.07407170715487771,-0.23919041184527332,-0.6815483109304431,-0.25677111263623037,-0.41210846586104505,-0.570010536906805,-0.49899586025832554,-0.4828261070140722,-0.46021769687853786,-0.577953814820269,-0.5055765870098489,-0.44326371194881525,0.1593854572162375,-0.2889575571647472,-0.3591742251143917,-0.4331616493639728,-0.4633800648991702,-0.19138301455562687,-0.7373216745068293,-0.4776694133614394,-0.12144857924646144,-0.766802939466659,-0.4618021916625122,-0.26882094390061906,0.28371941387259575,-0.34695040917168374,-0.16786082885599696,-0.3734615668408205,-0.5074638062945185,-0.05150658008682065,-0.6809608004220937,-0.47352747199579087,-0.0009258770438990445,-0.7287283685453727,-0.4166459271426206,-0.08574473517415843,0.3223805691164589,-0.4119322590178288,-0.04083784617350979,-0.16716325660501666,-0.5029742365355954,0.00896470645622491,-0.4738542387354971,-0.4643652178325086,0.03880656641014408,-0.621969558743487,-0.41128072591795606
C_Major,0.0,0.0,0.0,-0.15309065890523899,-0.26891764975098487,-0.07054417587339086,-0.28097821279663476,-0.5737972116702778,-0.1859409006607008,-0.2898316321247512,-0.8971793980828082,-0.3119828978356007,-0.20165427452618892,-1.0,-0.4301859629997738,-0.5318617735699478,-0.08416431468076943,-0.24105927757759824,-0.6640577711536088,-0.26263076050378437,-0.41467670534780693,-0.5465397354042281,-0.5216545220771701,-0.4805819087184852,-0.42876494098475176,-0.6041129991737231,-0.49768519091241487,-0.4221538203305168,0.13677644546376413,-0.29128365461706357,-0.34809124608409064,-0.4482550523796744,-0.46468200354258665,-0.1839848704085708,-0.7559237893172092,-0.47228642250873526,-0.11933783735236377,-0.7736393828252148,-0.4512039092383423,-0.2525413976184992,0.24598839106654924,-0.3492716228846505,-0.16299420760893224,-0.4026202365681706,-0.5068503131527875,-0.04996605230752232,-0.7059645295670968,-0.4639590112791586,-0.0022137699327597193,-0.7379995888238581,-0.4014549923493577,-0.0773015675109262,0.2739670859838144,-0.4141300554220269,-0.034479927087179306,-0.2206983413178588,-0.5020130688661585,0.01591133931420529,-0.5192753156350483,-0.45747683600642236,0.046938081159891065,-0.6451503102387388,-0.4001913125160984
C_Major,0.0,0.0,0.0,-0.17366200565570344,-0.29543646391393624,-0.08671613356640683,-0.31391929612003455,-0.6009315374023485,-0.21444323320268344,-0.30975504970553946,-0.9175003552473144,-0.35098459520842223,-0.19848211755653003,-1.0,-0.48135013846258734,-0.5872548066415875,-0.007076360306368608,-0.26994967045021895,-0.7132430381913715,-0.21246864059525322,-0.4556144025771241,-0.595434220246687,-0.48186427142723,-0.5278485217756861,-0.4783736237802137,-0.5766321225009079,-0.5490112483133669,-0.45882596371740764,0.2560589403076483,-0.31874824896236836,-0.36465393094656995,-0.38999257927832026,-0.50236927029632,-0.18459298629617904,-0.7248388091279031,-0.50809249150446,-0.1191993930464597,-0.7619351048332748,-0.4845116733636624,-0.26675608096148623,0.38776785855256873,-0.3766974789274586,-0.1557158254160964,-0.32860318417932055,-0.547826924400943,-0.03578200529006878,-0.6638157134820303,-0.5045684796944604,0.009940110704204051,-0.7142485335141563,-0.4395607972116016,-0.06763559852316836,0.4243349811822797,-0.4425911191279926,-0.009406284096471044,-0.1151393525108714,-0.5421673984130438,0.04383660451708386,-0.4442201885179082,-0.4986665960942553,0.07205130186714664,-0.59333431389902,-0.43993253963527745
C_Major,0.0,0.0,0.0,-0.14437244115938314,-0.3082440791909258,-0.08945831584192794,-0.261453113217489,-0.6354355370327122,-0.21206525605696394,-0.26355804007044564,-0.9486295805543754,-0.3442862507510662,-0.15606706975413567,-1.0,-0.4713321084548525,-0.518483480834111,-0.062495767217138495,-0.23795914387295733,-0.6479973736246682,-0.24057998919444562,-0.4172243881929803,-0.554701828349608,-0.4749010781562286,-0.49709039537056526,-0.4423889021672152,-0.5673354893825862,-0.523227772597085,-0.4073646929269781,0.17549763100823598,-0.27852435059523906,-0.32012654464306595,-0.42642276928926603,-0.45382482503135646,-0.15621512224884299,-0.7550334051982673,-0.47177573446848065,-0.07811932939964182,-0.8106437443948844,-0.45696281663776706,-0.235355937937609,0.2930476674367421,-0.3294745097478747,-0.1275195118003153,-0.3643858888813639,-0.4852458161721989,-0.019816256983901912,-0.6757718697830477,-0.4499209085189934,0.030534194659723738,-0.7376259243410753,-0.3917436807237547,-0.05734657737557441,0.32537534724004336,-0.3901050433047698,-0.001553716026507926,-0.13987240456384342,-0.47270273289623904,0.03940990375524903,-0.4281690294832497,-0.4318559606987665,0.06371146800957618,-0.566362139135331,-0.3779920715070238
C_Major,0.0,0.0,0.0,-0.15555592082283762,-0.29667572855657653,-0.08623235221517865,-0.27743736171616656,-0.5972402817541361,-0.20992315029744715,-0.28901475281939054,-0.91384678694266,-0.34323637884668573,-0.20050488091666954,-1.0,-0.47003876497477365,-0.5352541956980776,-0.07020606749395793,-0.24426021121600697,-0.657430475775637,-0.2594170960350954,-0.4194939875761563,-0.5651035444689109,-0.4883661066140838,-0.4952601365155865,-0.46525315077274576,-0.5550012298418934,-0.5220862829542402,-0.42250058850429506,0.15834375812678936,-0.28897564077130905,-0.3387589222240942,-0.4354098191281213,-0.4689666525055857,-0.1713372285175386,-0.7439944677661081,-0.48592041925594426,-0.09553083087413874,-0.7698375845552992,-0.46941859738753555,-0.25001629026851646,0.26809115036299414,-0.34219952526948955,-0.1568849719190993,-0.3664162759448209,-0.5003320602524742,-0.042752121990923236,-0.668833516977982,-0.4545826756136985,0.010242322880753474,-0.7086312300003933,-0.3885877892904209,-0.07322446346312911,0.29467334636163456,-0.4051299332423872,-0.0311980655966553,-0.1769716067957717,-0.49244925802103034,0.009153516555315587,-0.45304909798875354,-0.44657446766651304,0.03285732483852088,-0.5643332055550109,-0.3876212700482383
C_Major,0.0,0.0,0.0,-0.1509498245622337,-0.2982616518832055,-0.09375147761052742,-0.2677153105236634,-0.6072035066259401,-0.2243952199062897,-0.27255197476913906,-0.9307186441961212,-0.36327989027729973,-0.17877158665300705,-1.0,-0.49410505554133183,-0.5291789500706247,-0.07769213570341908,-0.26841098283580467,-0.6402140210619959,-0.28252637481456594,-0.45497492165025705,-0.5252392897787095,-0.5192842541351498,-0.5320431767601925,-0.4168452492209995,-0.5768853349169658,-0.5570573283062452,-0.40977642627473343,0.1574586485022134,-0.31392929393085334,-0.3194580652869821,-0.4348611876770052,-0.5032930983869489,-0.14773326834761993,-0.7523118628107425,-0.5148730408698606,-0.0722216833034825,-0.7860388269920999,-0.4930366655702678,-0.23463840064165506,0.2776548122946029,-0.36890734794391833,-0.13635376913194386,-0.35964387198129927,-0.5323429913852904,-0.014709622696418135,-0.6751361032705007,-0.4775735876489273,0.04293744691321805,-0.727398043803841,-0.40450155465290455,-0.05554415282368445,0.3129363763051363,-0.4346889317695736,-0.006432964555183045,-0.1573876689608832,-0.5227022691211377,0.03692193078548327,-0.43816765131063723,-0.4722338189357628,0.06095353324326818,-0.557887069183759,-0.4097729316205166
C_Major,0.0,0.0,0.0,-0.15714054699108937,-0.30612213440086633,-0.09164337183278323,-0.27050852245815843,-0.6179963465169998,-0.22006162823352513,-0.2745937476002648,-0.9406956415483638,-0.3563198195632573,-0.1786054602699138,-1.0,-0.48436338446134597,-0.507721752349008,-0.12424588758953639,-0.2564312793813903,-0.6113042031870165,-0.282459413996573,-0.43296032059153505,-0.5103789073294429,-0.5277620987292404,-0.5031856112362532,-0.4090984506608836,-0.6034919965852994,-0.5246722097135389,-0.3886999306634171,0.09924744303834364,-0.29896057787117564,-0.3010006440398845,-0.4434730285176825,-0.47197630163692,-0.14952921749434292,-0.7622003238696652,-0.4752955733393545,-0.09295894568036452,-0.793839694044621,-0.45097469490034126,-0.21886552010004198,0.20959462481733987,-0.3513079813366595,-0.1243085259333954,-0.3778011390929968,-0.5002698103426689,-0.02600514222967841,-0.6861889037925485,-0.43904131967732357,0.019138746594127634,-0.7301838624568469,-0.36555491149728836,-0.04866564913222772,0.23398602394214066,-0.4150806117154996,0.005634928597893222,-0.21057581874060774,-0.4960242058167893,0.0418181711173055,-0.4828441003087916,-0.4433147050794225,0.06040592449431098,-0.5938008498635969,-0.38087807910852817
C_Major,0.0,0.0,0.0,-0.1523974431402535,-0.30695025432969203,-0.08037024852044876,-0.2637433080267369,-0.59583071243284,-0.19590244294569997,-0.2646997809656946,-0.9148899275189746,-0.31921551636224,-0.181983360441187,-1.0,-0.43628066224805806,-0.48559830753014527,-0.13667217367252502,-0.2344358041611428,-0.5786905571758565,-0.3030245102698362,-0.3965206561928435,-0.4793712882442334,-0.5444591048748215,-0.4637552973599728,-0.3820134229263026,-0.6319913966827676,-0.48526305647136203,-0.3765093983978778,0.06656864765806299,-0.2765732762211866,-0.2890656120412267,-0.4445752966467781,-0.4417123672768764,-0.1412474916780847,-0.739453033641149,-0.45447834417949,-0.07838392516737275,-0.7909681455131073,-0.4385149910430063,-0.21755667819684893,0.1786333690380966,-0.32656240326642344,-0.11406617270924398,-0.3801016784798528,-0.4727875256255436,-0.00837304286814263,-0.6743250358026577,-0.43115088362115006,0.042678049473345844,-0.7461184419195991,-0.37166363988648166,-0.054193503085809974,0.2133040112859802,-0.38538231856817495,0.005027990683299462,-0.19345636347520193,-0.4646279704542088,0.04690228250619672,-0.4524606918322951,-0.4229442056378889,0.07032432241935191,-0.578766914820111,-0.37075482372899055
C_Major,0.0,0.0,0.0,-0.15098722031273962,-0.2998068386993223,-0.06930219847082673,-0.2590816667333227,-0.5903436300604857,-0.17816226803326196,-0.2544684938901118,-0.8917867645442408,-0.29645270709183835,-0.17786982787640962,-1.0,-0.4095009674879978,-0.4747000543754491,-0.16759133181710673,-0.228939895886417,-0.5617473880317332,-0.3045176118980793,-0.38409295959733347,-0.46267574354387553,-0.5348891474496378,-0.4449244669520566,-0.36899966389456934,-0.6136419076062327,-0.4630755838206028,-0.3675647929958701,0.048402360312967393,-0.27557727229351087,-0.28351592236573725,-0.44731103736862027,-0.4342670577078065,-0.13767040002373132,-0.7257218122359858,-0.4421525903686994,-0.07710255930115496,-0.7663963962293685,-0.4226111650433009,-0.2101768698546271,0.1716926656180036,-0.32880159671232523,-0.11091174623589728,-0.3785145729117033,-0.47156128583201773,-0.007430075370782029,-0.6684763564794055,-0.428034506916555,0.04175970924893812,-0.7330406470387099,-0.3670606050132553,-0.04877130819702612,0.21919053416926207,-0.3895533485526283,0.0069774322021845,-0.18935210579719627,-0.46790024617237147,0.04786297598713423,-0.44885542725515754,-0.4240057443433911,0.0702294813461486,-0.5729572589900257,-0.3696992246661265
C_Major,0.0,0.0,0.0,-0.14851635787887263,-0.32222871733387604,-0.06457210107690442,-0.2697994519991153,-0.6321840207183324,-0.16129424169604104,-0.26375186489014163,-0.9347874529169602,-0.26723615514857085,-0.16681071271869574,-1.0,-0.36864936772437107,-0.47987934371330104,-0.16255739636899022,-0.2186899031117919,-0.5538081035982888,-0.3265807489492692,-0.36647521577134134,-0.4419409271282528,-0.5534115857758344,-0.42469178436243565,-0.3427946277909843,-0.6195700045864632,-0.44300274131512435,-0.36677332517471223,0.06193271512265406,-0.26676675715706066,-0.26432220441819154,-0.44978071404686476,-0.41599590138268705,-0.12114903464753957,-0.728948451854701,-0.42491965785336916,-0.06529607538477554,-0.7737073339505683,-0.41063148604076083,-0.20208326487694278,0.19265492152895727,-0.3208420822892494,-0.08990434145596594,-0.3788269423367546,-0.4589504340977545,0.01423004715966497,-0.6724301655075331,-0.42213840701636035,0.05928521311590387,-0.7414081132074951,-0.3689325010545934,-0.033967301638231605,0.24355610216353488,-0.3818157751541652,0.034455493497632356,-0.18518735329047664,-0.45942920313633956,0.07759171752688852,-0.4569116839388468,-0.41974822050111416,0.0986084046867523,-0.5984939502038781,-0.3705454256579444
